mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.2	0.2	0.5	0.5	0.5	0.5	1.0	1.0
0.24420872	0.13183273	0.6137936	0.7149611	0.38620645	0.28503883	2.5661438	2.4847755
0.22968261	0.16408648	0.8212515	0.89776623	0.17874849	0.10223377	4.2963276	4.102816
0.2253187	0.1627923	0.9182525	0.9463264	0.0817474	0.053673625	4.3390408	4.897836
0.22322433	0.11751485	0.98723733	0.9650048	0.012762694	0.03499525	3.4309103	5.1718497
0.2230597	0.120603666	0.9975569	0.9542456	0.0024430237	0.04575435	2.8771133	5.4151983
0.22937597	0.14353213	0.99904615	0.76349026	0.0009537958	0.23650971	2.957339	5.857592
0.23145945	0.14240775	0.99943537	0.79865324	0.00056457927	0.2013468	3.0270565	6.238304
0.2335504	0.14453834	0.9995889	0.862873	0.00041109286	0.137127	2.9801235	6.648934
0.23531215	0.15349607	0.999671	0.83233684	0.00032906927	0.16766314	2.9425235	7.211851
0.234938	0.15548187	0.9997265	0.9015656	0.00027353902	0.09843438	2.9041846	7.8259025
0.2366081	0.15694164	0.9997694	0.9432846	0.00023059505	0.05671544	2.8919287	8.62325
0.2399762	0.15881172	0.9998049	0.9766176	0.00019511906	0.023382412	2.8484228	9.6417465
0.24540904	0.16361727	0.99983466	0.9935213	0.00016533629	0.006478785	2.754592	10.965512
0.2519476	0.166285	0.99985886	0.9980038	0.00014108742	0.001996165	2.6227844	12.169178
0.25342423	0.16695797	0.9998779	0.99909854	0.000122069556	0.000901526	2.5326183	12.372559
0.2521157	0.16652995	0.99989295	0.9994374	0.000107030886	0.00056257023	2.5670834	12.179511
0.25127554	0.16614655	0.999905	0.99957615	9.4980685e-05	0.00042385404	2.6161249	12.05638
0.2510692	0.16607347	0.99991477	0.99964833	8.51922e-05	0.0003516054	2.6085215	12.014162
0.25155586	0.16627543	0.9999229	0.9996941	7.7076824e-05	0.00030593635	2.5969036	12.090897
0.2517505	0.16634306	0.9999298	0.9997274	7.0251364e-05	0.00027254745	2.5933053	12.122409
0.25159875	0.16627872	0.9999355	0.9997539	6.443407e-05	0.00024612068	2.594796	12.097313
0.251551	0.16625759	0.99994063	0.9997756	5.94145e-05	0.0002243989	2.598462	12.089903
0.25156307	0.16626164	0.9999449	0.99979395	5.5042525e-05	0.00020606813	2.5975342	12.091211
0.2515994	0.16627528	0.99994874	0.9998097	5.1201503e-05	0.00019030616	2.5963182	12.096609
0.25160974	0.16627856	0.9999522	0.9998235	4.7800662e-05	0.00017657015	2.596399	12.097991
0.25159648	0.16627297	0.9999552	0.9998355	4.4771365e-05	0.00016448654	2.5965953	12.095588
0.2515988	0.1662732	0.9999579	0.9998462	4.205628e-05	0.0001537793	2.5967147	12.095827
0.25160474	0.16627468	0.9999604	0.99985576	3.9610306e-05	0.00014422771	2.5965211	12.096499
0.25160837	0.16627553	0.99996257	0.99986434	3.7396676e-05	0.00013565528	2.5964477	12.096911
0.25160944	0.16627538	0.9999646	0.9998721	3.5384586e-05	0.00012792194	2.5964656	12.096906
